step,train_loss,train_acc,test_loss,test_acc,elapsed_s
0,4.753795623779297,0.008145363070070744,4.755836009979248,0.009501931257545948,1.15274977684021
100,0.13597585260868073,1.0,4.5747528076171875,0.2487208992242813,5.797428846359253
200,0.026023855432868004,1.0,4.635055065155029,0.2496606409549713,10.376405000686646
300,0.0211471039801836,1.0,4.719722747802734,0.2497650682926178,15.246581077575684
400,0.011920411139726639,1.0,4.586925983428955,0.2509136497974396,19.78148102760315
500,0.006053139455616474,1.0,4.6429643630981445,0.2517489790916443,24.19155979156494
600,0.013225194066762924,1.0,4.469292640686035,0.2543593943119049,28.631799697875977
700,0.01168357115238905,1.0,4.264173984527588,0.257074236869812,32.97566485404968
800,0.027980269864201546,1.0,4.089977264404297,0.26208624243736267,36.91295289993286
900,0.013043547049164772,1.0,3.845768928527832,0.2692910134792328,40.99866604804993
1000,0.007573522627353668,1.0,3.793372631072998,0.27336326241493225,46.45724177360535
1100,0.0033011764753609896,1.0,3.7765896320343018,0.2764957845211029,50.85849595069885
1200,0.0013926312094554305,1.0,3.7695164680480957,0.2822386920452118,55.310774087905884
1300,0.0005830101436004043,1.0,3.7630341053009033,0.28798162937164307,59.630249977111816
1400,0.0002520046546123922,1.0,3.7640841007232666,0.2934112846851349,63.842726945877075
1500,0.00010694178490666673,1.0,3.763352394104004,0.30207788944244385,67.76820588111877
1600,4.594352139974944e-05,1.0,3.772435426712036,0.30552366375923157,71.80366802215576
1700,0.00506148487329483,1.0,2.8848049640655518,0.35752323269844055,76.2439079284668
1800,0.004377307370305061,1.0,2.4996166229248047,0.3878041207790375,80.28860592842102
1900,0.004687229637056589,1.0,2.4369702339172363,0.3933382034301758,84.07977080345154
2000,0.00269670900888741,1.0,2.3320164680480957,0.4161010682582855,88.03700470924377
2100,0.0012286662822589278,1.0,2.1786482334136963,0.44930562376976013,92.71674585342407
2200,0.0005354784079827368,1.0,2.033034086227417,0.4810483455657959,97.26284289360046
2300,0.0002325690002180636,1.0,1.9201149940490723,0.505168616771698,102.64023303985596
2400,0.00010062100773211569,1.0,1.832014560699463,0.5260519981384277,107.85237407684326
2500,4.4190383050590754e-05,1.0,1.7740942239761353,0.542654275894165,112.20017576217651
2600,1.933364364958834e-05,1.0,1.7276511192321777,0.5589433312416077,116.67152285575867
2700,0.023696832358837128,1.0,1.8980145454406738,0.5150882601737976,121.52717280387878
2800,0.0024236070457845926,1.0,0.9966879487037659,0.7362430691719055,126.17604684829712
2900,0.0029384600929915905,1.0,0.9618998765945435,0.7736243009567261,130.02482199668884
3000,0.012738985940814018,1.0,0.42674800753593445,0.9577111601829529,133.90096378326416
3100,0.012724448926746845,1.0,0.4430655539035797,0.9713897705078125,137.74827980995178
3200,0.006781896110624075,1.0,0.35335084795951843,0.9788033962249756,141.56347966194153
3300,0.003025671234354377,1.0,0.2446436882019043,0.9857993125915527,145.36843276023865
3400,0.0013202748959884048,1.0,0.16931213438510895,0.9897671341896057,149.1928198337555
3500,0.0005713848513551056,1.0,0.12126605212688446,0.9924820065498352,153.04075694084167
3600,0.0002474419598001987,1.0,0.09294082224369049,0.9938393831253052,156.8620789051056
3700,0.00010855529399123043,1.0,0.07485257834196091,0.9954056739807129,160.67621684074402
3800,0.01583222858607769,1.0,0.3917064964771271,0.912707507610321,164.48479986190796
3900,0.0008880845853127539,1.0,0.04199416935443878,0.9986425638198853,168.34849786758423
4000,0.0008679450838826597,1.0,0.036351896822452545,0.9994779229164124,172.19071006774902
4100,0.0004619204846676439,1.0,0.02427711896598339,0.999791145324707,176.0072798728943
4200,0.00020615846733562648,1.0,0.01396708283573389,0.999791145324707,179.81843876838684
4300,8.979254198493436e-05,1.0,0.007960985414683819,0.999791145324707,183.64585709571838
4400,3.9122081943787634e-05,1.0,0.004694855306297541,0.999791145324707,187.4594178199768
4500,1.7299149476457387e-05,1.0,0.0029382859356701374,0.999791145324707,191.28104877471924
4600,7.905573511379771e-06,1.0,0.001951450714841485,0.999791145324707,195.0797257423401
4700,3.8482635318359826e-06,1.0,0.0014374253805726767,0.999791145324707,199.08205699920654
