step,train_loss,train_acc,test_loss,test_acc,elapsed_s
0,4.753795623779297,0.008145363070070744,4.755836009979248,0.009501931257545948,0.36951208114624023
100,0.0828966572880745,1.0,4.736133098602295,0.2487208992242813,4.3098061084747314
200,0.010057671926915646,1.0,5.055915355682373,0.2508092224597931,8.110500812530518
300,0.0027725251857191324,1.0,5.307591438293457,0.2509136497974396,11.892190933227539
400,0.0008653621771372855,1.0,5.554832935333252,0.25039157271385193,15.71811318397522
500,0.0002822024398483336,1.0,5.813235759735107,0.2515401542186737,19.568624019622803
600,9.399557893630117e-05,1.0,6.0782294273376465,0.25216665863990784,23.352166891098022
700,3.1683735869592056e-05,1.0,6.353256702423096,0.2524799108505249,27.163743019104004
800,1.0766679224616382e-05,1.0,6.631824970245361,0.25279316306114197,31.02403211593628
900,3.6873391309200088e-06,1.0,6.917024612426758,0.25289756059646606,35.10419416427612
1000,1.2689132518062252e-06,1.0,7.1996026039123535,0.25321081280708313,38.89756488800049
1100,4.3205889710407064e-07,1.0,7.460665702819824,0.2533152401447296,42.677764892578125
1200,1.473683539643389e-07,1.0,7.661433219909668,0.25310641527175903,46.4920220375061
1300,0.0018444560701027513,1.0,7.723450183868408,0.2470502257347107,51.39726901054382
1400,0.00030400711693800986,1.0,7.741400241851807,0.2509136497974396,56.01820397377014
1500,0.00012641362263821065,1.0,7.7605133056640625,0.25206223130226135,61.35668206214905
1600,5.405774209066294e-05,1.0,7.787374496459961,0.25289756059646606,65.30551195144653
1700,2.291267810505815e-05,1.0,7.820359230041504,0.2535240650177002,69.26070499420166
1800,9.659293027652893e-06,1.0,7.860750198364258,0.25404614210128784,73.00801014900208
1900,4.070509021403268e-06,1.0,7.914632797241211,0.2544638216495514,76.7642650604248
2000,1.7059011270248448e-06,1.0,7.989230155944824,0.25477707386016846,80.492192029953
2100,6.964702947698242e-07,1.0,8.085073471069336,0.25477707386016846,84.2327721118927
2200,2.699387948723597e-07,1.0,8.192185401916504,0.254672646522522,87.94887709617615
2300,1.0005063444396001e-07,1.0,8.264762878417969,0.2544638216495514,91.6576521396637
2400,5.497369670592889e-08,1.0,8.242193222045898,0.2537328898906708,95.36750316619873
2500,4.291085531349381e-08,1.0,8.12552261352539,0.25383731722831726,99.08548521995544
2600,6.124787432781886e-08,1.0,7.972520351409912,0.2526887357234955,102.82992315292358
2700,2.636646101450424e-08,1.0,7.899146556854248,0.25300198793411255,106.96262097358704
2800,8.57226550579071e-05,1.0,8.558262825012207,0.250495970249176,110.71527099609375
2900,3.06338733935263e-05,1.0,8.57965087890625,0.2506003975868225,114.41927099227905
3000,1.3075771676085424e-05,1.0,8.596017837524414,0.2509136497974396,118.19146490097046
3100,5.6556596064183395e-06,1.0,8.615008354187012,0.2513313293457031,122.13026690483093
3200,2.4115192900353577e-06,1.0,8.639294624328613,0.2515401542186737,126.15599799156189
3300,1.0141745860892115e-06,1.0,8.670727729797363,0.2516445517539978,129.9018199443817
3400,4.0994990513354423e-07,1.0,8.712897300720215,0.252584308385849,133.64032101631165
3500,1.550616701706531e-07,1.0,8.751618385314941,0.2535240650177002,137.40592098236084
3600,7.693329706626173e-08,1.0,8.669882774353027,0.25404614210128784,141.10968399047852
3700,5.818547776925698e-08,1.0,8.444785118103027,0.25383731722831726,144.81087493896484
3800,3.32755192289369e-08,1.0,8.166373252868652,0.25488150119781494,148.53567600250244
3900,1.1652033116149596e-08,1.0,7.913232803344727,0.25477707386016846,152.23825526237488
4000,4.791525398673002e-08,1.0,7.707043170928955,0.2551947236061096,155.94448804855347
4100,6.643900007929915e-08,1.0,7.5774407386779785,0.25488150119781494,159.64674305915833
4200,0.00032134674256667495,1.0,9.431246757507324,0.24767673015594482,163.3436460494995
4300,3.11748226522468e-05,1.0,9.378826141357422,0.24903415143489838,167.06502985954285
4400,1.2166880878794473e-05,1.0,9.369013786315918,0.2498694807291031,170.7794270515442
4500,5.035527010477381e-06,1.0,9.360698699951172,0.250495970249176,174.77795505523682
4600,2.0871677861578064e-06,1.0,9.353588104248047,0.2506003975868225,178.5534200668335
4700,8.566854603486718e-07,1.0,9.351025581359863,0.25112247467041016,182.32387518882751
4800,3.356308297952637e-07,1.0,9.349337577819824,0.2516445517539978,186.06252908706665
4900,1.2283186379136168e-07,1.0,9.32879638671875,0.2524799108505249,189.79510498046875
5000,8.369296722321451e-08,1.0,9.068801879882812,0.25310641527175903,193.5331552028656
5100,7.73067654336046e-08,1.0,8.510404586791992,0.25404614210128784,197.42114520072937
5200,5.911913447675943e-08,1.0,7.9272637367248535,0.2555079758167267,201.18881583213806
5300,4.7168327910185326e-08,1.0,7.544544219970703,0.2562389075756073,205.23687100410461
5400,3.925092073586711e-08,1.0,7.347256183624268,0.2560300827026367,208.93636417388916
5500,5.374127098889403e-08,1.0,7.262465476989746,0.25592565536499023,212.6410391330719
5600,1.7440704880300473e-08,1.0,7.264261245727539,0.25592565536499023,216.33942294120789
5700,4.111823770358569e-08,1.0,7.222286224365234,0.25655215978622437,220.0294280052185
5800,4.429266908800855e-08,1.0,7.207892894744873,0.2569698095321655,223.72348189353943
