step,train_loss,train_acc,test_loss,test_acc,elapsed_s
0,4.753503322601318,0.007569825276732445,4.756107807159424,0.009845603257417679,4.4498608112335205
100,0.16067425906658173,1.0,3.8508856296539307,0.3040948808193207,14.16604495048523
200,0.02859325334429741,1.0,3.7454705238342285,0.31024837493896484,19.97467017173767
300,0.045199934393167496,1.0,3.3654279708862305,0.3266950249671936,25.824748992919922
400,0.01278227660804987,1.0,3.1842904090881348,0.3366524875164032,32.15141296386719
500,0.006783500779420137,1.0,3.158449172973633,0.3435891568660736,38.223028898239136
600,0.13852611184120178,0.9997389912605286,2.9137215614318848,0.3635041415691376,43.92713499069214
700,0.010820283554494381,1.0,2.1144847869873047,0.4665473401546478,49.475178956985474
800,0.007941489107906818,1.0,1.9994845390319824,0.4965316653251648,54.730403900146484
900,0.003734305500984192,1.0,1.714155673980713,0.5559409260749817,61.13767981529236
1000,0.001613885280676186,1.0,1.406042456626892,0.6367196440696716,68.16134405136108
1100,0.0006830671336501837,1.0,1.1249920129776,0.7065339088439941,74.45409107208252
1200,0.0002950504422187805,1.0,0.901764452457428,0.7662788033485413,79.94769787788391
1300,0.0001300846051890403,1.0,0.7446818947792053,0.8077870011329651,85.21808004379272
1400,5.635797424474731e-05,1.0,0.6288008093833923,0.8351980447769165,90.64074087142944
1500,0.003441988257691264,1.0,0.14268609881401062,0.9884761571884155,95.92574906349182
1600,0.0038459671195596457,1.0,0.12124978750944138,0.9959722757339478,101.65894603729248
1700,0.013341465964913368,1.0,0.05809347704052925,1.0,107.1970329284668
1800,0.012968325987458229,1.0,0.04711524769663811,1.0,113.62511491775513
1900,0.0149996904656291,1.0,0.03638308495283127,0.9998881220817566,119.38427495956421
2000,0.01050599105656147,1.0,0.02198505401611328,1.0,124.72528791427612
2100,0.005813823081552982,1.0,0.011584280990064144,1.0,130.11685609817505
2200,0.0025448615197092295,1.0,0.004842497408390045,1.0,135.45656180381775
2300,0.0010831905528903008,1.0,0.001972869038581848,1.0,140.72262597084045
2400,0.00046604135422967374,1.0,0.000821238849312067,1.0,146.0960807800293
2500,0.00020213388779666275,1.0,0.0003498223959468305,1.0,151.5004427433014
2600,8.820021321298555e-05,1.0,0.00015153683489188552,1.0,157.2433979511261
2700,3.894239489454776e-05,1.0,6.711672904202715e-05,1.0,162.7904999256134
2800,1.7648904758971184e-05,1.0,3.103771450696513e-05,1.0,168.0253210067749
2900,8.205489393731114e-06,1.0,1.487562167312717e-05,1.0,173.4834749698639
3000,0.0007418018067255616,1.0,0.0014471870381385088,1.0,178.84174585342407
3100,0.0011784243397414684,1.0,0.001793628092855215,1.0,184.1274619102478
3200,0.0011524100555106997,1.0,0.001675891224294901,1.0,189.98707795143127
3300,0.0005282414495013654,1.0,0.000726772123016417,1.0,195.92168807983398
3400,0.00026091167819686234,1.0,0.00035379428300075233,1.0,201.59452295303345
3500,0.00011770665150834247,1.0,0.00015902900486253202,1.0,208.144859790802
3600,5.294541551847942e-05,1.0,7.163872942328453e-05,1.0,213.9246859550476
3700,2.3994885850697756e-05,1.0,3.272707181167789e-05,1.0,219.72488498687744
3800,1.2586931916303001e-05,1.0,1.740228253765963e-05,1.0,225.143296957016
3900,0.0013115438632667065,1.0,0.0020872466266155243,1.0,232.256108045578
4000,0.0020123959984630346,1.0,0.0026730126701295376,1.0,237.40438389778137
4100,0.0018151347758248448,1.0,0.0023621656000614166,1.0,242.61690402030945
4200,0.0009072753018699586,1.0,0.0012123646447435021,1.0,248.8081328868866
4300,0.0004117319476790726,1.0,0.0005666018114425242,1.0,257.3133339881897
4400,0.00018431044009048492,1.0,0.00026385823730379343,1.0,263.8030619621277
4500,8.193906251108274e-05,1.0,0.00012408284237608314,1.0,269.669420003891
